"ID","Title","Hyperlink","Make","Model","Year","Mileage","Fuel Type","Transmission","Body Type","Seats","Engine Size(Litres)","Road Tax","NCT Expiry","Country of Registeration","Colour","Doors","Views","Days Online"
"22428542","Hyundai i30 N - All Used Cars Fully Sanitized","https://www.donedeal.ie/cars-for-sale/hyundai-i30-n-all-used-cars-fully-sanitized/22428542","Hyundai","i30","2019","4679 km","Petrol","Manual","Hatchback","","2.0","570","Jan 2022","Ireland","Black","5","19","45 mins"
"25641837","Hyundai i30 Fastback 1.6 Diesel 5dr Coupe","https://www.donedeal.ie/cars-for-sale/hyundai-i30-fastback-1-6-diesel-5dr-coupe/25641837","Hyundai","i30","2020","2500 km","Diesel","Manual","Hatchback","","1.6","","","Ireland","Red","5","3","48 mins"
"24177692","Audi A6 2.0tdi 204HP S-tronic SE","https://www.donedeal.ie/cars-for-sale/audi-a6-2-0tdi-204hp-s-tronic-se/24177692","Audi","A6","2020","20665 km","Diesel","Automatic","Saloon","","2.0","200","Jan 2024","Ireland","Silver","4","6","47 mins"
"25401239","BMW X4, 2015","https://www.donedeal.ie/cars-for-sale/bmw-x4-2015/25401239","BMW","X4","2015","43533 mi","Diesel","Automatic","Coupe","","3.0","","","Ireland","Black","4","8","49 mins"
"26209635","Mercedes-Benz C-Class AMG Line","https://www.donedeal.ie/cars-for-sale/mercedes-benz-c-class-amg-line/26209635","Mercedes-Benz","C-Class","2018","32021 km","Diesel","Automatic","Coupe","","2.1","","","UK","Blue","2","4","49 mins"
"26049823","2018 Audi A6 2.0 TDI Auto S-Line Ultra","https://www.donedeal.ie/cars-for-sale/2018-audi-a6-2-0-tdi-auto-s-line-ultra/26049823","Audi","A6","2018","86000 mi","Diesel","Automatic","Saloon","","2.0","","","Ireland","Black","4","59","9 hours"
"26209625","06 520d","https://www.donedeal.ie/cars-for-sale/06-520d/26209625","BMW","5-Series","2006","181000 mi","Diesel","Manual","Saloon","5","2.0","710","Oct 2019","Ireland","Black","4","36","50 mins"
"26209642","Ford Focus 1.5 Low Milage","https://www.donedeal.ie/cars-for-sale/ford-focus-1-5-low-milage/26209642","Ford","Focus","2015","56000 mi","Diesel","Manual","Hatchback","","1.5","190","Oct 2022","Ireland","Blue","","14","48 mins"
"24980861","Renault Zoe Dynamique NAV R110 Z.e. 40","https://www.donedeal.ie/cars-for-sale/renault-zoe-dynamique-nav-r110-z-e-40/24980861","Renault","Zoe","2019","25500 km","Electric","Automatic","Hatchback","","","120","Apr 2023","Ireland","White","4","32","3 days"
"24957135","Dacia Sandero Alternative Sce 75 Ph2","https://www.donedeal.ie/cars-for-sale/dacia-sandero-alternative-sce-75-ph2/24957135","Dacia","Sandero","2017","27200 km","Petrol","Manual","Hatchback","","1.0","200","Aug 2021","Ireland","White","4","6","51 mins"
"25848168","BMW X4, 2015","https://www.donedeal.ie/cars-for-sale/bmw-x4-2015/25848168","BMW","X4","2015","43533 mi","Diesel","Automatic","SUV","","3.0","570","Aug 2022","Ireland","Black","5","5","49 mins"
"26097728","2008 ford focus 1.6 tdci","https://www.donedeal.ie/cars-for-sale/2008-ford-focus-1-6-tdci/26097728","Ford","Focus","2008","157356 mi","Diesel","","Hatchback","5","1.6","","Feb 2021","Ireland","Silver","","26","49 mins"
"26069296","BMW 3-Series, 2010","https://www.donedeal.ie/cars-for-sale/bmw-3-series-2010/26069296","BMW","3-Series","2010","225000 mi","Diesel","Manual","Saloon","","2.0","190","Apr 2021","Ireland","Black","","14","49 mins"
"25908216","Ford S-Max 2.0 Tdci 180PS St-line","https://www.donedeal.ie/cars-for-sale/ford-s-max-2-0-tdci-180ps-st-line/25908216","Ford","S-Max","2020","2818 mi","Diesel","Manual","MPV","","2.0","","Jul 2024","Ireland","Grey","5","5","50 mins"
"26209608","Bmw 520 Estate","https://www.donedeal.ie/cars-for-sale/bmw-520-estate/26209608","BMW","5-Series","2006","282000 km","Diesel","Automatic","Estate","5","2.0","710","Mar 2021","Ireland","Silver","5","34","57 mins"
"26209626","Opel Astra GTC","https://www.donedeal.ie/cars-for-sale/opel-astra-gtc/26209626","Opel","Astra","2007","106000 km","Petrol","Manual","Hatchback","5","1.4","385","Nov 2021","Ireland","Silver","3","15","47 mins"
"26007952","Citroen C4 7 Seater //save 5000 // EX Demo// Only","https://www.donedeal.ie/cars-for-sale/citroen-c4-7-seater-save-5000-ex-demo-only/26007952","Citroen","C4","2020","1242 mi","Diesel","Automatic","MPV","","1.5","","Jul 2024","Ireland","Red","5","1","59 mins"
"26209644","Renault scenic","https://www.donedeal.ie/cars-for-sale/renault-scenic/26209644","Renault","Scenic","2010","128000 mi","Diesel","Manual","MPV","5","1.5","270","Dec 2020","Ireland","Grey","5","13","47 mins"
"25633560","Nissan QASHQAI 1.5sv dCi - Buy From Home Free Na","https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5sv-dci-buy-from-home-free-na/25633560","Nissan","QASHQAI","2014","133000 km","Diesel","Manual","SUV","","1.5","180","Aug 2020","Ireland","White","5","2","57 mins"
"26083749","2010 BMW F10 M Sport Manual","https://www.donedeal.ie/cars-for-sale/2010-bmw-f10-m-sport-manual/26083749","BMW","5-Series","2010","179000 mi","Diesel","Manual","Saloon","5","2.0","270","Dec 2021","Ireland","Grey","4","19","59 mins"
"25885255","Citroen C4 Grand C4 Spacetourer// C4 Grand Picass","https://www.donedeal.ie/cars-for-sale/citroen-c4-grand-c4-spacetourer-c4-grand-picass/25885255","Citroen","C4","2020","2485 mi","Diesel","Automatic","MPV","","1.5","","Jun 2024","Ireland","Black","5","3","59 mins"
"26035654","Audi A6 40 TDI 204HP S-T S Line 4DR black Editio","https://www.donedeal.ie/cars-for-sale/audi-a6-40-tdi-204hp-s-t-s-line-4dr-black-editio/26035654","Audi","A6","2020","139 km","Diesel","Automatic","Saloon","","2.0","","","Ireland","Black","4","13","54 mins"
"25942885","Citroen Dispatch MWB 1.5 Blue HDi 100PS 6MT 1000k","https://www.donedeal.ie/cars-for-sale/citroen-dispatch-mwb-1-5-blue-hdi-100ps-6mt-1000k/25942885","Citroen","Dispatch","2020","0 mi","Diesel","Manual","","","1.5","","","Ireland","White","5","4","1 hour"
